这次购物体验真的超乎预期！商品质量非常好，细节做工精致，完全符合描述，甚至比想象中还要满意。,	好评,	balance,	90.18%,2025-05-11 00:42:05
这次购物体验真的超乎预期！商品质量非常好，细节做工精致，完全符合描述，甚至比想象中还要满意。,	好评,	speed,	82.82%,2025-05-11 00:42:07
这次购物体验真的超乎预期！商品质量非常好，细节做工精致，完全符合描述，甚至比想象中还要满意。,	好评,	balance,	90.18%,2025-05-11 00:42:10
这次购物体验真的超乎预期！商品质量非常好，细节做工精致，完全符合描述，甚至比想象中还要满意。,	好评,	quality,	69.54%,2025-05-11 00:42:23
不知道为什么，有时候切换到照相功能的时候就卡住，我是国补的时候买的，感觉还没我的13好用，不敢肯定是不是全新机了,	中评,	quality,	72.86%,2025-05-11 00:44:12
不知道为什么，有时候切换到照相功能的时候就卡住，我是国补的时候买的，感觉还没我的13好用，不敢肯定是不是全新机了,	好评,	speed,	59.00%,2025-05-11 00:44:14
不知道为什么，有时候切换到照相功能的时候就卡住，我是国补的时候买的，感觉还没我的13好用，不敢肯定是不是全新机了,	中评,	balance,	99.57%,2025-05-11 00:44:17
短时间内价格持续变动，不保值，建议大家换平台购买吧,	差评,	balance,	98.82%,2025-05-11 00:44:33
短时间内价格持续变动，不保值，建议大家换平台购买吧,	差评,	quality,	73.99%,2025-05-11 00:44:37
短时间内价格持续变动，不保值，建议大家换平台购买吧,	中评,	speed,	50.87%,2025-05-11 00:44:40
